Feed N Plus 2A content,Reactor WAIT,H2 to HC,Reactor 1 Inlet Temp,Reactor 2 Inlet Temp,Reactor 3 Inlet Temp,Reactor 4 Inlet Temp,Reactor 1 Delta T,Reactor 2 Delta T,Reactor 3 Delta T,Reactor 4 Delta T,Reactor 1 Delta P,Reactor 2 Delta P,Reactor 3 Delta P,Reactor 4 Delta P,Seperator Pressure,Seperator Temperature,Recycle gas purity,Net gas Hydrogen Purity,Coke on Spent Catalyst,Chloride Injection rate,Total Paraffins in feed,Total Naphthenes in feed,Total Aromatics in feed,Total olefins in Feed,Reactor LHSV,Feed IBP,50% IBP,WABT,Plant C5PlusYield
47.54,992.82,3.5,978.12,993.02,992.35,1001.79,166.4,112.05,74.48,45.39,0.59,2.57,2.79,3.09,32.75,103.97,81.73,88.89,2.95,1.99,63,25.14,11.2,0.67,1.61,195.15,252.5,946.25,86.01
47.54,992.82,3.5,977.74,992.45,992.08,1002.2,166.26,111.75,74.55,45.86,0.59,2.56,2.77,3.05,32.89,103.28,81.73,88.89,2.95,2,63,25.14,11.2,0.67,1.61,195.15,252.5,946.25,86.01
47.54,992.51,3.55,978.19,992.3,993.13,1001.27,166.61,111.28,75.88,45.47,0.58,2.54,2.77,3.06,32.83,102.48,81.73,88.89,2.95,2.01,63,25.14,11.2,0.67,1.61,195.15,252.5,945.98,85.72
47.54,992.51,3.55,978.67,993.82,992.54,1003.45,167.43,109.77,75.29,47.05,0.61,2.58,2.78,3.01,32.92,102.41,82.74,88.89,2.95,2.03,63,25.14,11.2,0.67,1.61,194.6,252.52,945.98,85.72
47.54,992.95,3.54,977,995.47,990.34,1003.52,165.79,109.6,72.65,46.26,0.58,2.52,2.76,2.71,32.57,103.57,82.74,88.89,2.95,1.98,63,25.14,11.2,0.67,1.61,194.6,252.52,946.55,86.27
47.54,992.95,3.54,977.43,992.84,991.93,1005.67,166.13,119.59,74.35,48.32,0.6,2.54,2.77,2.47,32.36,105.31,82.74,88.89,2.95,2.05,63,25.14,11.2,0.67,1.61,194.6,252.52,946.55,86.27
47.54,993.23,3.44,977.3,993.16,992.91,1004.17,165.75,116.69,75.4,47.33,0.59,2.54,2.77,2.59,32.28,106.7,82.74,88.89,2.95,2.03,63,25.14,11.2,0.67,1.61,194.6,252.52,946.2,85.94
47.54,993.23,3.44,977.6,992.86,993.27,1004.11,165.96,113.03,75.21,46.24,0.63,2.59,2.79,2.47,32.6,106.58,82.74,88.89,2.95,2,63,25.14,11.2,0.67,1.61,194.6,252.52,946.2,85.94
47.54,993.43,3.39,978.13,993.3,993.05,1004.45,166.5,116.05,74.71,47.02,0.62,2.57,2.78,2.61,32.39,107.18,82.74,88.89,2.95,2,63,25.14,11.2,0.67,1.61,194.6,252.52,946.65,85.79
47.54,993.43,3.39,977.26,993.09,993.95,1003.92,165.26,115.88,75.15,45.5,0.6,2.55,2.77,2.52,32.24,107.13,82.74,88.89,2.95,1.98,63,25.14,11.2,0.67,1.61,194.6,252.52,946.65,85.79
47.54,993.34,3.42,977.63,993.62,993.78,1003.81,166.1,114.64,75.82,46.54,0.62,2.56,2.78,2.72,32.04,107.34,82.74,88.89,2.95,2.05,63,25.14,11.2,0.67,1.61,194.6,252.52,946.54,85.83
47.54,993.34,3.42,978.04,993.51,994.64,1004.18,166.32,111.46,76.11,46.24,0.62,2.55,2.79,2.55,31.85,107.27,82.74,88.89,2.95,2,63,25.14,11.2,0.67,1.61,194.6,252.52,946.54,85.83
47.54,993.46,3.42,977.22,992.56,994.91,1003.56,165.4,112.55,76,45.3,0.63,2.56,2.79,2.82,31.9,107.15,82.74,88.89,2.95,1.95,63,25.14,11.2,0.67,1.61,194.6,252.52,947,85.61
47.54,993.46,3.42,978.33,993.14,993.45,1004.03,165.92,113.24,74.22,45.25,0.65,2.57,2.82,2.94,32.21,106.84,82.74,88.89,2.95,1.98,63,25.14,11.2,0.67,1.61,194.6,252.52,947,85.61
47.54,993.4,3.44,977.79,993.47,993.45,1003.86,165.98,113.93,74.81,45.64,0.61,2.58,2.8,3.09,32.14,106.59,82.74,88.89,2.95,1.99,63,25.14,11.2,0.67,1.61,194.6,252.52,946.97,85.6
